iter	Passed	Remaining
213	22219	81610
214	22309	81454
215	22415	81360
216	22517	81248
217	22627	81166
218	22735	81079
219	22835	80962
220	22950	80898
221	23061	80819
222	23168	80724
223	23280	80650
224	23388	80559
225	23492	80456
226	23604	80381
227	23694	80228
228	23796	80116
229	23906	80035
230	24005	79915
231	24120	79847
232	24236	79782
233	24336	79665
234	24431	79532
235	24524	79393
236	24630	79295
237	24737	79201
238	24827	79054
239	24937	78969
240	25041	78866
241	25157	78797
242	25271	78726
243	25376	78625
244	25488	78544
245	25585	78421
246	25681	78291
247	25780	78172
248	25885	78071
249	25993	77979
250	26098	77880
251	26179	77708
252	26283	77602
253	26392	77516
254	26504	77435
255	26608	77331
256	26710	77222
257	26820	77135
258	26921	77021
259	27032	76938
260	27139	76842
261	27243	76739
262	27343	76624
263	27448	76523
264	27550	76414
265	27640	76272
266	27734	76140
267	27847	76060
268	27948	75950
269	28056	75855
270	28166	75768
271	28272	75669
272	28375	75564
273	28487	75481
274	28597	75393
275	28683	75242
276	28785	75134
277	28896	75048
278	28984	74903
279	29083	74785
280	29185	74678
281	29300	74600
282	29409	74511
283	29523	74433
284	29631	74339
285	29732	74226
286	29844	74142
287	29943	74026
288	30053	73937
289	30138	73786
290	30244	73688
291	30360	73614
292	30477	73541
293	30570	73410
294	30674	73307
295	30787	73224
296	30900	73141
297	30983	72989
298	31093	72897
299	31196	72791
300	31297	72680
301	31404	72583
302	31504	72471
303	31605	72360
304	31704	72243
305	31799	72121
306	31895	71999
307	32000	71896
308	32103	71790
309	32198	71668
310	32305	71571
311	32407	71461
312	32497	71329
313	32589	71198
314	32686	71079
315	32787	70970
316	32886	70855
317	32995	70764
318	33098	70658
319	33208	70567
320	33316	70472
321	33418	70365
322	33528	70275
323	33630	70167
324	33744	70084
325	33854	69994
326	33950	69874
327	34062	69786
328	34174	69700
329	34278	69594
330	34379	69486
331	34482	69380
332	34594	69293
333	34675	69144
334	34773	69027
335	34878	68926
336	34978	68815
337	35072	68691
338	35179	68594
339	35291	68506
340	35375	68364
341	35483	68269
342	35573	68139
343	35663	68009
344	35760	67892
345	35869	67799
346	35980	67709
347	36078	67594
348	36190	67507
349	36286	67389
350	36387	67281
351	36479	67154
352	36582	67051
353	36695	66963
354	36806	66873
355	36909	66769
356	37017	66672
357	37123	66572
358	37228	66471
359	37330	66365
360	37435	66263
361	37544	66169
362	37641	66053
363	37743	65946
364	37818	65793
365	37929	65703
366	38039	65610
367	38145	65510
368	38248	65405
369	38356	65310
370	38462	65209
371	38562	65100
372	38680	65021
373	38782	64914
374	38870	64783
375	38971	64675
376	39087	64592
377	39184	64478
378	39282	64364
379	39376	64246
380	39474	64132
381	39569	64015
382	39665	63900
383	39768	63795
384	39855	63665
385	39956	63557
386	40059	63453
387	40168	63358
388	40270	63253
389	40377	63155
390	40471	63036
391	40586	62950
392	40676	62825
393	40781	62724
394	40881	62615
395	40983	62509
396	41081	62398
397	41160	62257
398	41262	62152
399	41352	62028
400	41456	61926
401	41560	61823
402	41671	61731
403	41762	61609
404	41863	61503
405	41955	61382
406	42060	61282
407	42170	61189
408	42263	61069
409	42354	60949
410	42458	60847
411	42567	60751
412	42664	60638
413	42763	60530
414	42853	60408
415	42957	60306
416	43073	60219
417	43161	60095
418	43264	59992
419	43364	59884
420	43476	59793
421	43573	59681
422	43673	59573
423	43771	59462
424	43888	59378
425	43992	59276
426	44098	59176
427	44205	59078
428	44306	58971
429	44410	58869
430	44491	58737
431	44589	58626
432	44687	58516
433	44767	58383
434	44875	58286
435	44967	58169
436	45067	58061
437	45169	57957
438	45261	57840
439	45365	57737
440	45465	57631
441	45570	57530
442	45668	57421
443	45762	57305
444	45859	57196
445	45962	57092
446	46052	56973
447	46150	56863
448	46260	56769
449	46353	56654
450	46460	56556
451	46559	56447
452	46651	56331
453	46757	56232
454	46846	56112
455	46952	56013
456	47050	55904
457	47161	55811
458	47268	55713
459	47365	55603
460	47473	55506
461	47584	55412
462	47677	55297
463	47784	55199
464	47889	55098
465	48000	55004
466	48105	54903
467	48209	54802
468	48311	54697
469	48411	54591
470	48504	54477
471	48607	54374
472	48704	54264
473	48811	54166
474	48914	54063
475	49021	53964
476	49130	53868
477	49247	53780
478	49354	53682
479	49455	53576
480	49551	53466
481	49662	53372
482	49770	53274
483	49880	53178
484	49980	53072
485	50087	52972
486	50189	52868
487	50286	52759
488	50388	52655
489	50491	52551
490	50599	52454
491	50696	52345
492	50801	52244
493	50901	52137
494	51006	52036
495	51112	51936
496	51209	51828
497	51306	51718
498	51410	51617
499	51517	51517
500	51616	51410
501	51719	51307
502	51826	51208
503	51930	51105
504	52024	50993
505	52121	50885
506	52232	50790
507	52319	50671
508	52424	50570
509	52518	50459
510	52630	50364
511	52731	50259
512	52845	50167
513	52940	50056
514	53034	49945
515	53133	49838
516	53246	49745
517	53343	49635
518	53449	49535
519	53561	49441
520	53660	49335
521	53766	49234
522	53879	49140
523	53984	49039
524	54091	48939
525	54197	48839
526	54291	48728
527	54385	48617
528	54493	48518
529	54597	48416
530	54696	48310
531	54799	48207
532	54915	48115
533	55031	48023
534	55141	47926
535	55254	47832
536	55356	47728
537	55450	47617
538	55563	47522
539	55666	47419
540	55768	47315
541	55860	47202
542	55973	47108
543	56076	47005
544	56183	46905
545	56284	46800
546	56386	46696
547	56480	46586
548	56585	46484
549	56695	46387
550	56812	46295
551	56914	46191
552	57026	46095
553	57132	45994
554	57239	45894
555	57351	45798
556	57451	45693
557	57561	45595
558	57671	45497
559	57775	45395
560	57879	45292
561	57964	45175
562	58062	45068
563	58175	44972
564	58268	44861
565	58374	44760
566	58482	44661
567	58583	44556
568	58694	44459
569	58793	44353
570	58886	44242
571	59004	44150
572	59095	44037
573	59181	43922
574	59288	43822
575	59391	43718
576	59501	43620
577	59613	43524
578	59721	43424
579	59816	43315
580	59929	43219
581	60037	43119
582	60144	43019
583	60251	42918
584	60353	42815
585	60443	42702
586	60546	42598
587	60644	42492
588	60747	42389
589	60845	42282
590	60946	42177
591	61046	42072
592	61149	41969
593	61252	41866
594	61348	41757
595	61452	41655
596	61530	41535
597	61640	41437
598	61745	41335
599	61845	41230
600	61941	41122
601	62043	41018
602	62191	40945
603	62295	40842
604	62398	40739
605	62511	40642
606	62602	40531
607	62701	40425
608	62790	40313
609	62881	40202
610	62977	40095
611	63075	39989
612	63181	39887
613	63287	39786
614	63399	39689
615	63496	39582
616	63599	39479
617	63678	39360
618	63776	39254
619	63884	39155
620	63977	39045
621	64054	38926
622	64155	38822
623	64248	38714
624	64357	38614
625	64458	38510
626	64550	38401
627	64625	38281
628	64730	38179
629	64831	38075
630	64931	37970
631	65035	37868
632	65137	37765
633	65235	37659
634	65332	37553
635	65419	37441
636	65521	37337
637	65625	37235
638	65736	37137
639	65845	37038
640	65943	36932
641	66043	36827
642	66147	36725
643	66244	36619
644	66355	36521
645	66459	36419
646	66572	36321
647	66680	36221
648	66775	36114
649	66877	36010
650	66974	35904
651	67086	35807
652	67192	35705
653	67300	35605
654	67405	35503
655	67517	35405
656	67612	35298
657	67716	35196
658	67806	35086
659	67905	34981
660	68012	34880
661	68108	34774
662	68222	34676
663	68327	34575
664	68430	34472
665	68530	34368
666	68616	34257
667	68717	34153
668	68832	34056
669	68934	33952
670	69038	33850
671	69137	33745
672	69238	33641
673	69320	33528
674	69431	33430
675	69541	33330
676	69649	33229
677	69744	33123
678	69839	33016
679	69925	32906
680	70028	32803
681	70136	32702
682	70245	32602
683	70355	32503
684	70460	32401
685	70555	32295
686	70663	32194
687	70765	32091
688	70872	31990
689	70976	31887
690	71085	31788
691	71200	31690
692	71289	31581
693	71395	31479
694	71496	31376
695	71603	31275
696	71713	31175
697	71810	31069
698	71919	30969
699	72020	30865
700	72122	30762
701	72223	30658
702	72319	30553
703	72402	30441
704	72512	30342
705	72621	30241
706	72713	30134
707	72789	30020
708	72878	29912
709	72981	29809
710	73097	29711
711	73213	29614
712	73311	29509
713	73412	29406
714	73517	29304
715	73622	29202
716	73727	29100
717	73835	28999
718	73933	28894
719	74045	28795
720	74143	28690
721	74247	28588
722	74352	28486
723	74454	28383
724	74553	28278
725	74658	28177
726	74752	28070
727	74847	27965
728	74918	27850
729	75015	27745
730	75098	27635
731	75201	27532
732	75283	27422
733	75393	27322
734	75498	27220
735	75595	27115
736	75702	27014
737	75799	26909
738	75900	26806
739	76002	26703
740	76097	26598
741	76198	26494
742	76285	26386
743	76360	26274
744	76455	26169
745	76543	26061
746	76635	25955
747	76732	25851
748	76821	25743
749	76914	25638
750	77000	25530
751	77079	25419
752	77160	25310
753	77238	25199
754	77349	25100
755	77460	25000
756	77540	24890
757	77649	24790
758	77748	24686
759	77850	24584
760	77955	24482
761	78037	24373
762	78138	24271
763	78234	24166
764	78338	24064
765	78440	23962
766	78523	23854
767	78633	23753
768	78733	23650
769	78840	23549
770	78943	23447
771	79060	23349
772	79163	23247
773	79273	23146
774	79382	23046
775	79498	22948
776	79599	22845
777	79689	22739
778	79791	22636
779	79896	22534
780	80003	22433
781	80106	22331
782	80205	22228
783	80322	22129
784	80422	22026
785	80522	21923
786	80621	21820
787	80728	21718
788	80841	21619
789	80948	21517
790	81039	21412
791	81150	21312
792	81250	21209
793	81337	21102
794	81433	20998
795	81542	20897
796	81647	20796
797	81744	20692
798	81850	20590
799	81960	20490
800	82055	20385
801	82164	20285
802	82267	20182
803	82381	20083
804	82481	19979
805	82592	19879
806	82704	19779
807	82798	19674
808	82902	19572
809	82999	19468
810	83093	19364
811	83192	19261
812	83299	19159
813	83405	19058
814	83516	18957
815	83625	18856
816	83739	18756
817	83843	18654
818	83936	18550
819	84046	18449
820	84139	18344
821	84235	18240
822	84339	18138
823	84446	18037
824	84546	17934
825	84659	17833
826	84756	17730
827	84855	17626
828	84961	17525
829	85067	17423
830	85161	17319
831	85239	17211
832	85349	17110
833	85456	17009
834	85568	16908
835	85667	16805
836	85772	16703
837	85882	16602
838	85963	16495
839	86061	16392
840	86165	16290
841	86265	16187
842	86372	16085
843	86473	15983
844	86573	15880
845	86663	15775
846	86774	15674
847	86884	15573
848	86990	15471
849	87096	15369
850	87201	15268
851	87309	15166
852	87408	15063
853	87503	14959
854	87618	14859
855	87693	14752
856	87803	14650
857	87902	14547
858	87993	14443
859	88100	14341
860	88207	14240
861	88316	14138
862	88416	14035
863	88522	13934
864	88622	13831
865	88730	13729
866	88830	13626
867	88922	13522
868	89017	13419
869	89120	13316
870	89231	13215
871	89344	13114
872	89451	13013
873	89545	12909
874	89660	12808
875	89752	12704
876	89842	12600
877	89942	12497
878	90044	12395
879	90142	12292
880	90243	12189
881	90346	12087
882	90445	11984
883	90557	11883
884	90643	11778
885	90753	11677
886	90867	11576
887	90978	11474
888	91088	11373
889	91185	11270
890	91293	11168
891	91393	11065
892	91489	10962
893	91573	10857
894	91672	10754
895	91764	10651
896	91855	10547
897	91952	10444
898	92060	10342
899	92163	10240
900	92271	10138
901	92375	10036
902	92485	9934
903	92576	9831
904	92665	9727
905	92766	9624
906	92862	9521
907	92960	9418
908	93065	9316
909	93160	9213
910	93266	9111
911	93373	9009
912	93475	8907
913	93576	8804
914	93678	8702
915	93786	8600
916	93929	8501
917	94038	8399
918	94152	8298
919	94252	8195
920	94358	8093
921	94469	7991
922	94568	7889
923	94685	7788
924	94769	7684
925	94861	7580
926	94960	7478
927	95060	7375
928	95172	7273
929	95279	7171
930	95372	7068
931	95476	6966
932	95583	6863
933	95674	6760
934	95789	6659
935	95902	6557
936	96004	6454
937	96107	6352
938	96211	6250
939	96304	6147
940	96403	6044
941	96501	5941
942	96620	5840
943	96729	5738
944	96833	5635
945	96930	5533
946	97033	5430
947	97138	5328
948	97218	5224
949	97323	5122
950	97435	5020
951	97550	4918
952	97659	4816
953	97773	4714
954	97865	4611
955	97956	4508
956	98057	4405
957	98146	4302
958	98238	4199
959	98335	4097
960	98440	3994
961	98546	3892
962	98662	3790
963	98770	3688
964	98875	3586
965	98978	3483
966	99072	3380
967	99173	3278
968	99269	3175
969	99364	3073
970	99472	2970
971	99577	2868
972	99685	2766
973	99796	2663
974	99905	2561
975	99995	2458
976	100098	2356
977	100208	2254
978	100299	2151
979	100392	2048
980	100501	1946
981	100598	1843
982	100680	1741
983	100778	1638
984	100869	1536
985	100971	1433
986	101076	1331
987	101179	1228
988	101285	1126
989	101382	1024
990	101464	921
991	101545	818
992	101646	716
993	101743	614
994	101838	511
995	101948	409
996	102047	307
997	102153	204
998	102259	102
999	102361	0
