iter	Logloss
0	0.4580683528
1	0.3344719094
2	0.2727615566
3	0.2363033565
4	0.2130282728
5	0.1997957604
6	0.1928618835
7	0.1873535949
8	0.1843053506
9	0.1820347774
10	0.1803566992
11	0.1795195003
12	0.1776700161
13	0.1767115029
14	0.1762198165
15	0.1753750117
16	0.1751285784
17	0.1747941279
18	0.1745147522
19	0.1740123517
20	0.1736822667
21	0.172818165
22	0.1725503062
23	0.1723578058
24	0.1721653465
25	0.1718146902
26	0.1715349448
27	0.1714618752
28	0.1709971596
29	0.1707579291
30	0.1706626585
31	0.1704595425
32	0.1701024107
33	0.1700243239
34	0.1698225781
35	0.1696803314
36	0.1695039474
37	0.1691937518
38	0.1691363896
39	0.1691080367
40	0.1688418591
41	0.1687219452
42	0.1686540737
43	0.1684019475
44	0.1682091588
45	0.1681465355
46	0.1681234115
47	0.167956811
48	0.167857901
49	0.1677337752
50	0.1676983833
51	0.1676486682
52	0.1675024596
53	0.1673645291
54	0.1673283841
55	0.1672927404
56	0.1672442514
57	0.167114147
58	0.1670109851
59	0.1669830006
60	0.1669077534
61	0.1667895831
62	0.1666881435
63	0.1666303053
64	0.1666017176
65	0.1665407141
66	0.1664096134
67	0.1663352166
68	0.1663080289
69	0.1662855971
70	0.1662287765
71	0.1661506992
72	0.1661031071
73	0.1660630117
74	0.1659074742
75	0.1658944664
76	0.1658435802
77	0.1657527563
78	0.1656993161
79	0.1656750262
80	0.165648514
81	0.1655898352
82	0.1655412874
83	0.1654199343
84	0.1653795242
85	0.1653375349
86	0.1653087921
87	0.1652768149
88	0.1652542642
89	0.1651758892
90	0.1651117598
91	0.1650712767
92	0.1650380459
93	0.1650231829
94	0.1649877746
95	0.1648587655
96	0.1648427056
97	0.1647867031
98	0.1647621885
99	0.1647034577
100	0.1646499651
101	0.1646111164
102	0.1645887198
103	0.1645629922
104	0.1645336487
105	0.1644744043
106	0.1644347888
107	0.1643914897
108	0.1643460297
109	0.1643250772
110	0.1643036037
111	0.1642724413
112	0.1642486588
113	0.1641421026
114	0.1641248746
115	0.1641039872
116	0.1640931817
117	0.164073047
118	0.164054659
119	0.1640357726
120	0.1639873281
121	0.1639520293
122	0.1639272421
123	0.1638715557
124	0.1638554949
125	0.1638457977
126	0.1638245219
127	0.1637752006
128	0.1637405949
129	0.1637127266
130	0.1636838201
131	0.1636695049
132	0.1636534132
133	0.1636210774
134	0.1636019696
135	0.1635651516
136	0.1635358279
137	0.1635004931
138	0.1634154507
139	0.163406607
140	0.1633926164
141	0.163374033
142	0.1633480267
143	0.1633257104
144	0.1632707514
145	0.1632432776
146	0.1632145333
147	0.1632003833
148	0.1631792985
149	0.1631674748
150	0.1631360147
151	0.163125799
152	0.1631031535
153	0.1630813726
154	0.1630522781
155	0.1630373093
156	0.1628433154
157	0.162834227
158	0.1628205241
159	0.1627971732
160	0.1627600618
161	0.1627587517
162	0.1627335451
163	0.1627032815
164	0.1626805216
165	0.1626747365
166	0.1626685981
167	0.1626507176
168	0.1626357705
169	0.1626256432
170	0.1626166117
